player_id,inferred_home_region,unique_event_locations,unique_event_states,avg_travel_distance_miles,max_travel_distance_miles,pct_events_outside_home_region,traveling_competitor_label,travel_distance_confidence
30063365,NY,3,2,1843.9379619442304,2499.4403334345193,0.7272727272727273,Tournament road warrior,approximate (city-level)
30100530,NY,2,1,115.35849573742168,115.89311678413912,0.0,Multi-state competitor,approximate (city-level)
30108478,,1,1,,,,Insufficient location data,low
30110069,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
30110811,MA,1,1,23.65909661470455,23.659096614704545,0.0,Local grinder,approximate (city-level)
30119474,NY,4,3,463.8459486570736,601.0923200126506,0.8,Multi-state competitor,approximate (city-level)
30126813,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
30127892,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
30135488,NJ,11,6,763.2398760859915,2538.476626598255,0.40625,Tournament road warrior,approximate (city-level)
30135902,NJ,6,5,427.909482288828,2538.476626598255,0.6,Multi-state competitor,approximate (state-level)
30136614,CA,9,2,206.75800591097027,275.3657912584673,0.02631578947368421,Multi-state competitor,approximate (city-level)
30143287,NY,1,1,111.61614841039955,111.61614841039955,0.0,Multi-state competitor,approximate (city-level)
30156835,NJ,4,2,20.664021503808485,50.17631486435805,0.23076923076923078,Local grinder,approximate (state-level)
30163816,NY,9,5,232.74251983058434,751.6728269366159,0.6190476190476191,Multi-state competitor,approximate (city-level)
30171728,NY,2,1,0.0,0.0,0.0,Local grinder,approximate (state-level)
30176249,,11,8,,,,Insufficient location data,low
30239811,NY,5,4,113.42769022266916,153.3302006137908,0.75,Multi-state competitor,approximate (state-level)
30254679,TX,1,1,55.434206728328554,55.43420672832856,0.0,Regional traveler,approximate (city-level)
30256336,NJ,2,1,21.578566956086117,34.46382140409066,0.0,Local grinder,approximate (city-level)
30257133,TN,11,5,232.06058380317359,491.7871178526018,0.5714285714285714,Multi-state competitor,approximate (city-level)
30262675,NY,5,4,386.9837893625188,661.1260044961872,0.8888888888888888,Multi-state competitor,approximate (state-level)
30292358,TX,1,1,0.0,0.0,0.0,Local grinder,approximate (state-level)
30311276,NY,2,2,111.89492497244039,119.42189214754332,0.03571428571428571,Multi-state competitor,approximate (city-level)
30328482,NY,7,5,205.48826788835862,751.6728269366159,0.2413793103448276,Multi-state competitor,approximate (city-level)
30330738,NJ,1,1,39.36777831881205,39.36777831881205,1.0,Regional traveler,approximate (city-level)
30340203,,1,1,,,,Insufficient location data,low
30379361,NY,3,1,57.94655839206956,115.89311678413912,0.0,Regional traveler,approximate (city-level)
30380787,TX,5,2,244.60023773275378,1195.8997688260442,0.15,Multi-state competitor,approximate (state-level)
30387428,IL,12,6,173.37542574516337,738.9908199798672,0.3333333333333333,Multi-state competitor,approximate (state-level)
30418754,TX,3,1,47.09991896194524,144.92282757521613,0.0,Regional traveler,approximate (state-level)
